,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_n_jobs,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,0.1074223518371582,0.04479874609543603,0.7568153381347656,0.1075244333897978,kd_tree,25,-1,6,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",0.9167715544367526,0.907016991818754,0.9044996853366898,0.9005507474429583,0.9079464988198269,0.9073570955709963,0.0053588482078559705,45
15,0.11962122917175293,0.025742684756715328,0.3577883720397949,0.06375670616652102,kd_tree,25,-1,6,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",0.9348646947765891,0.9274701069855255,0.9295154185022027,0.9280881195908733,0.9279307631785996,0.9295738206067581,0.002732373199538772,20
16,0.1009706974029541,0.039776052202765526,0.8098588943481445,0.08495665217492086,kd_tree,25,-1,7,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.9191315292636879,0.9117369414726243,0.9103209565764632,0.9057435090479937,0.9106215578284815,0.9115108988378502,0.004326540843779462,44
17,0.1379101276397705,0.06274357677097038,0.4071624279022217,0.10476160006453875,kd_tree,25,-1,7,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.9361233480176211,0.9326620516047829,0.9312460667086218,0.9277734067663257,0.9277734067663257,0.9311156559727355,0.0031567890503723574,14
18,0.13218283653259277,0.08949045965402626,0.8853619575500489,0.12078981970482293,kd_tree,25,-1,7,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.9178728760226558,0.9043423536815607,0.9030837004405287,0.8978756884343037,0.9052714398111723,0.9056892116780443,0.006607118448263116,49
19,0.1605154514312744,0.058464220351003335,0.4152366638183594,0.08494367650399245,kd_tree,25,-1,7,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.934235368156073,0.9254247954688484,0.9263687853996224,0.9227380015735641,0.9214791502753737,0.9260492201746964,0.004457684475788545,26
20,0.12842869758605957,0.04553284510255355,0.7526468276977539,0.04940610942885794,kd_tree,25,-1,8,1,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",0.9104782882315922,0.9060730018879799,0.9038703587161737,0.9018095987411487,0.9066876475216366,0.9057837790197063,0.0029118492756748855,48
21,0.13031964302062987,0.04397443747829307,0.4619288921356201,0.08610748925825443,kd_tree,25,-1,8,1,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",0.9367526746381372,0.9310887350534928,0.9312460667086218,0.9266719118804091,0.9279307631785996,0.9307380302918521,0.0034920225951137664,16
22,0.11721501350402833,0.03615388469915939,0.873447036743164,0.14303807024235254,kd_tree,25,-1,8,2,uniform,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0.9084329767149151,0.8963184392699811,0.8964757709251101,0.8931549960660897,0.8986624704956727,0.8986089306943537,0.005216452266053121,55
23,0.05447196960449219,0.0076908767655155365,0.4428684711456299,0.05822633615305633,kd_tree,25,-1,8,2,distance,"{'algorithm': 'kd_tree', 'leaf_size': 25, 'n_jobs': -1, 'n_neighbors': 8, 'p': 2, 'weights': 'distance'}",0.9317180616740088,0.9243234738829452,0.9251101321585903,0.9206923682140047,0.9219512195121952,0.9247590510883489,0.0038252487895980474,30
