,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_random_state,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.6354917049407959,0.006608068904217356,0.02448124885559082,0.0010716817206167684,42,39,5,3,sqrt,20,gini,"{'random_state': 42, 'n_estimators': 39, 'min_samples_split': 5, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini'}",0.9265261170547514,0.9255821271239774,0.9284140969162996,0.9206923682140047,0.923682140047207,0.9249793698712481,0.0026311321310413536,29,0.9655416568326646,0.9659743529226654,0.9675084572417592,0.9657396845376234,0.9659363568422294,0.9661401016753886,0.0007014059703316906
11,0.5144981861114502,0.014909860198425528,0.019953489303588867,0.0015200924904595332,42,32,3,4,log2,23,gini,"{'random_state': 42, 'n_estimators': 32, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 23, 'criterion': 'gini'}",0.920862177470107,0.921334172435494,0.9222781623662681,0.9200629425649095,0.9178599527930763,0.920479481525971,0.0014931604729749896,36,0.9580678152781056,0.9604673117772009,0.9597592636299268,0.9595248397120717,0.9605868701569446,0.95968122011085,0.000902414858943756
12,0.6617918014526367,0.032148295606222586,0.025702619552612306,0.0008949905053130954,42,40,3,3,log2,21,gini,"{'random_state': 42, 'n_estimators': 40, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': 21, 'criterion': 'gini'}",0.9307740717432348,0.9282567652611705,0.9282567652611705,0.9265145554681353,0.9241542092840284,0.9275912734035477,0.0021903741858579936,24,0.9683738494217606,0.9691999055935804,0.9666824010699394,0.9681784211147386,0.9686504346457931,0.9682170023691624,0.0008408392171723582
13,0.5743989944458008,0.025140089924909785,0.021355342864990235,0.0008581016003633745,42,34,3,5,sqrt,25,gini,"{'random_state': 42, 'n_estimators': 34, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'criterion': 'gini'}",0.9172435494021397,0.9164568911264946,0.9162995594713657,0.9140833988985051,0.9107789142407553,0.9149724626278521,0.0023451580554731248,44,0.9515773739280938,0.9516560459444575,0.950397293682637,0.9524053022853322,0.9494552177162412,0.9510982467113523,0.0010430701390594951
14,0.5893298149108886,0.0020080596367073027,0.02353677749633789,0.0009282324988498263,42,32,3,1,log2,25,gini,"{'random_state': 42, 'n_estimators': 32, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 25, 'criterion': 'gini'}",0.9432032724984267,0.9417872876022656,0.9458779106356199,0.9427222659323368,0.9400472069236822,0.9427275887184662,0.0019088972904379312,1,0.9920541263472583,0.9920147903390764,0.9917787742899851,0.9917790976674664,0.9921724422766786,0.9919598461840928,0.00015656421367254162
15,0.6321483135223389,0.05011720520966727,0.02044525146484375,0.001718070383109189,42,32,5,5,sqrt,25,entropy,"{'random_state': 42, 'n_estimators': 32, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 25, 'criterion': 'entropy'}",0.9196035242290749,0.920704845814978,0.9189741976085588,0.9162863886703383,0.912667191188041,0.9176472295021982,0.0028840811469170655,42,0.9520494060262764,0.95295413421446,0.9534261663126425,0.9530346536600716,0.9520906265979625,0.9527109973622826,0.0005473387500708608
16,0.6517208576202392,0.020260096440880348,0.024844884872436523,0.0011968933819265497,42,37,5,2,log2,22,gini,"{'random_state': 42, 'n_estimators': 37, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 22, 'criterion': 'gini'}",0.9314033983637507,0.93313404657017,0.934392699811202,0.9302911093627065,0.9315499606608969,0.9321542429537452,0.001440201075911619,20,0.9793879317126898,0.9790339076390527,0.9772244512626859,0.9786020532588601,0.9782480431105691,0.9784992773967716,0.0007449025715758104
17,0.6121871471405029,0.02015162277361446,0.019444370269775392,0.0010693238606870536,42,31,4,4,sqrt,24,entropy,"{'random_state': 42, 'n_estimators': 31, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 24, 'criterion': 'entropy'}",0.92196349905601,0.9232221522970422,0.9218061674008811,0.9194335169158143,0.9214791502753737,0.9215808971890243,0.0012257604707914642,34,0.9621587601290221,0.9620014160962945,0.9620800881126583,0.9609408803052354,0.9619242418282657,0.9618210772942952,0.00044699620692444775
18,0.7800267219543457,0.0932656041255631,0.02423095703125,0.0010621538654584704,42,38,5,2,log2,21,entropy,"{'random_state': 42, 'n_estimators': 38, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 21, 'criterion': 'entropy'}",0.9384833228445564,0.9347073631214601,0.9325047199496539,0.9329661683713611,0.9302911093627065,0.9337905367299477,0.0027364835841407072,14,0.9773031232790497,0.9779718354181418,0.9757690189599559,0.9765173268300358,0.9768713369783267,0.9768865282931021,0.0007398392452448458
19,0.6245956897735596,0.013000351277643043,0.020603322982788087,0.0011629074719024417,42,33,4,4,sqrt,23,entropy,"{'random_state': 42, 'n_estimators': 33, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 23, 'criterion': 'entropy'}",0.92196349905601,0.92196349905601,0.9238514789175583,0.9214791502753737,0.9199055861526357,0.9218326426915177,0.0012608291142061252,32,0.9604673117772009,0.9614113759735662,0.9613720399653843,0.9606262046178657,0.9593675018683869,0.9606488868404808,0.0007456234376234323
20,0.694887638092041,0.03255429850040254,0.023673105239868163,0.002103305021752426,42,33,2,1,sqrt,25,entropy,"{'random_state': 42, 'n_estimators': 33, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25, 'criterion': 'entropy'}",0.9414726242920075,0.9413152926368785,0.9435179358086847,0.9425649095200629,0.9419354838709677,0.9421612492257203,0.0008055255380888563,3,0.9929195185272599,0.9929195185272599,0.9925654944536229,0.9930378004169453,0.9932344727215513,0.9929353609293278,0.00021783704282213152
21,0.5789768695831299,0.011242897951970542,0.020633220672607422,0.0009734622935232072,42,30,2,2,log2,20,entropy,"{'random_state': 42, 'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.9287287602265576,0.9320327249842668,0.935336689741976,0.9301337529504328,0.932336742722266,0.9317137341250998,0.002237056636275023,21,0.9739988985917709,0.9741169066163166,0.9758476909763197,0.9759273099162176,0.9754159619242418,0.9750613536049733,0.0008384204940381576
22,0.5382491111755371,0.008058554751771412,0.021416568756103517,0.0006098338740538242,42,31,5,1,sqrt,21,gini,"{'random_state': 42, 'n_estimators': 31, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 21, 'criterion': 'gini'}",0.9367526746381372,0.9364380113278792,0.9389553178099433,0.9380015735641227,0.9369000786782061,0.9374095312036577,0.000935395497225235,12,0.9847376288254268,0.9850523168908819,0.9838722366454252,0.9848562325453329,0.98410887778783,0.9845254585389794,0.00045436675959988787
23,0.5315356254577637,0.010109349781490279,0.020955276489257813,0.0015911256414552796,42,34,4,5,sqrt,22,gini,"{'random_state': 42, 'n_estimators': 34, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'max_depth': 22, 'criterion': 'gini'}",0.9156702328508496,0.9145689112649465,0.9155129011957206,0.9128245476003147,0.9114083398898505,0.9139969865603363,0.0016432013204611337,47,0.9507119817480922,0.949728581543545,0.9496499095271812,0.9513432718404594,0.9496125555599261,0.9502092600438408,0.0006983828361369664
